task,model,run,build_ok,test_ok,in_tok,out_tok,cost_usd,latency_s,workdir
ng-feat2-service-search,qwen/qwen3-coder-next,2,True,True,636,571,0.0005,15.1,results\ng-feat2-service-search__qwen_qwen3-coder-next__r2
ng-feat2-service-search,qwen/qwen3-coder-next,3,True,True,636,571,0.0005,5.9,results\ng-feat2-service-search__qwen_qwen3-coder-next__r3
ng-feat2-service-search,tencent/hy3-preview,1,True,True,700,2369,0.0007,40.6,results\ng-feat2-service-search__tencent_hy3-preview__r1
ng-feat2-service-search,tencent/hy3-preview,2,True,True,700,2173,0.0006,43.5,results\ng-feat2-service-search__tencent_hy3-preview__r2
ng-feat2-service-search,tencent/hy3-preview,3,True,True,700,2534,0.0007,46.8,results\ng-feat2-service-search__tencent_hy3-preview__r3
ng-feat2-service-search,qwen/qwen3-coder,1,True,True,636,566,0.0012,6.9,results\ng-feat2-service-search__qwen_qwen3-coder__r1
ng-feat2-service-search,qwen/qwen3-coder,2,True,True,636,566,0.0012,9.6,results\ng-feat2-service-search__qwen_qwen3-coder__r2
ng-feat2-service-search,qwen/qwen3-coder,3,True,True,636,568,0.0012,11.2,results\ng-feat2-service-search__qwen_qwen3-coder__r3
ng-feat2-service-search,deepseek/deepseek-v4-pro,1,True,True,690,1835,0.0019,30.0,results\ng-feat2-service-search__deepseek_deepseek-v4-pro__r1
ng-feat2-service-search,deepseek/deepseek-v4-pro,2,True,True,690,1067,0.0012,19.5,results\ng-feat2-service-search__deepseek_deepseek-v4-pro__r2
ng-feat2-service-search,deepseek/deepseek-v4-pro,3,True,True,690,1017,0.0012,18.6,results\ng-feat2-service-search__deepseek_deepseek-v4-pro__r3
ng-feat2-service-search,z-ai/glm-5.2,1,True,True,639,1643,0.0072,22.5,results\ng-feat2-service-search__z-ai_glm-5.2__r1
ng-feat2-service-search,z-ai/glm-5.2,2,True,True,639,1589,0.007,35.1,results\ng-feat2-service-search__z-ai_glm-5.2__r2
ng-feat2-service-search,z-ai/glm-5.2,3,True,True,639,1455,0.0065,55.6,results\ng-feat2-service-search__z-ai_glm-5.2__r3
ng-feat2-service-search,minimax/minimax-m2.7,1,True,True,719,948,0.0011,17.9,results\ng-feat2-service-search__minimax_minimax-m2.7__r1
ng-feat2-service-search,minimax/minimax-m2.7,2,False,False,721,979,0.0012,12.9,results\ng-feat2-service-search__minimax_minimax-m2.7__r2
ng-feat2-service-search,minimax/minimax-m2.7,3,True,True,716,918,0.0011,20.9,results\ng-feat2-service-search__minimax_minimax-m2.7__r3
